symbol,direction,entry_time,close_time,holding_minutes,holding_hours,entry_price,close_price,pnl,close_reason,probability,quality_score
XRP/USDT:USDT,long,2026-01-27T16:20:05,2026-01-27T17:13:33,53.47,0.89,1.9067,1.8959,-0.63,Stop Loss достигнут (1.90),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T16:21:35,2026-01-27T17:13:31,51.93,0.87,1.9067,1.8957,-0.64,Stop Loss достигнут (1.90),0.0,0.0
XRP/USDT:USDT,long,2026-01-27T16:23:04,2026-01-27T17:12:25,49.35,0.82,1.9067,1.898,-0.52,Stop Loss достигнут (1.90),0.0,0.0
SHIB/USDT:USDT,long,2026-01-27T16:09:26,2026-01-27T17:12:24,62.97,1.05,7.766e-06,7.715e-06,-0.66,Stop Loss достигнут (0.00),92.0,23.0
XRP/USDT:USDT,long,2026-01-27T16:23:08,2026-01-27T17:12:22,49.23,0.82,1.9067,1.8964,-0.6,Stop Loss достигнут (1.90),0.0,0.0
SOL/USDT:USDT,long,2026-01-27T15:03:48,2026-01-27T17:11:17,127.48,2.12,126.221,125.104,-0.89,Stop Loss достигнут (125.31),92.0,26.0
SHIB/USDT:USDT,long,2026-01-27T16:09:44,2026-01-27T17:11:11,61.45,1.02,7.824e-06,7.731e-06,-0.45,Stop Loss достигнут (0.00),0.0,0.0
DOT/USDT:USDT,long,2026-01-27T16:10:37,2026-01-27T17:11:10,60.55,1.01,1.869,1.857,-0.22,Stop Loss достигнут (1.86),0.0,0.0
SOL/USDT:USDT,long,2026-01-27T16:11:54,2026-01-27T17:11:08,59.23,0.99,126.221,125.278,-0.75,Stop Loss достигнут (125.31),0.0,0.0
DOGE/USDT:USDT,long,2026-01-27T16:31:52,2026-01-27T17:10:54,39.03,0.65,0.12533,0.12377,-1.25,Stop Loss достигнут (0.12),92.0,23.0
DOGE/USDT:USDT,long,2026-01-27T16:32:56,2026-01-27T17:10:52,37.93,0.63,0.12533,0.12377,-1.25,Stop Loss достигнут (0.12),0.0,0.0
DOGE/USDT:USDT,long,2026-01-27T16:34:29,2026-01-27T17:10:51,36.37,0.61,0.12507,0.12377,-1.25,Stop Loss достигнут (0.12),0.0,0.0
XLM/USDT:USDT,long,2026-01-27T16:09:44,2026-01-27T17:09:52,60.13,1.0,0.20804,0.20689,-0.55,Stop Loss достигнут (0.21),92.0,20.0
